index-SBgTUTBi.js:451 🔄 UNIFIED PIPELINE: Events: 2611 Incidents: 7400
index-SBgTUTBi.js:451 🏠 HOME LOCATION: Caloundra, Sunshine Coast Regional 4551, Queensland COORDINATES: {lat: -26.7981633, lon: 153.1354434} RADIUS: 50km
 👤 USER INCIDENT: {id: 'user:160878c9-b88b-45d0-aa31-96e4ee974c6c', title: 'FIRE PERMITTED BURN - KOOKABURRA DR, MILLSTREAM', location: 'KOOKABURRA DR', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:834ab00c-b6d2-4454-a07d-21ab12367871', title: 'FIRE PERMITTED BURN - Talagai Ave, TIERI', location: 'Talagai Ave', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:83509ae2-247c-44b9-b49d-98a75a503a23', title: 'FIRE PERMITTED BURN - Edward St & Wills St, CHARLEVILLE', location: 'Edward St & Wills St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:125b5bac-bcb5-4e75-b8a7-9d091bb0e4e1', title: 'FIRE PERMITTED BURN - KOOKABURRA DR, MILLSTREAM', location: 'KOOKABURRA DR', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:98e00482-2308-44b0-aab1-898e6086e3b2', title: 'FIRE PERMITTED BURN - Mountain View Ct, SAMFORD VALLEY', location: 'Mountain View Ct', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:faeec42b-ef7b-4345-b00d-e04e4a77077e', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b5272aba-9829-4e3f-be95-4bd60287d285', title: 'FIRE VEGETATION - LOWE RD & BRUCE HWY, JULAGO', location: 'LOWE RD & BRUCE HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b0d4ea31-efc9-4917-b211-f71416856b98', title: 'found dog', location: 'Cottonwood Street, Kawana Forest 4551, Queensland', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:dbba9369-e233-4807-bbae-bfeaab790801', title: 'FIRE VEGETATION - Hilltop Rd, NEW MOONTA', location: 'Hilltop Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:31da74a9-6db7-45af-bdf5-29b336ab5900', title: 'FIRE PERMITTED BURN - RIVERWAY DR & KELSO DR, KELSO', location: 'RIVERWAY DR & KELSO DR', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4b0feafc-aa3a-46b6-bfc9-eced4c22e7f0', title: 'FIRE PERMITTED BURN - Yalbira Dr, BURDELL', location: 'Yalbira Dr', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e079afa1-a607-490c-8686-9f4a960a214f', title: 'FIRE PERMITTED BURN - KOOKABURRA DR, MILLSTREAM', location: 'KOOKABURRA DR', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2a1fb796-7fcc-4c2e-bd80-af3612b415f6', title: 'FIRE VEGETATION - FAIRBROTHER DR, MOUNT LOUISA', location: 'FAIRBROTHER DR', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1b38506c-450b-48d9-a73f-77d0e0e701e2', title: 'dog ', location: 'Silkpod Street, Kawana Forest 4551, Queensland', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e337112e-5996-4b85-b6b3-0a379181711c', title: 'kangaroo', location: 'Caloundra, Sunshine Coast Regional 4551, Queensland', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1ba31414-3039-4620-9d56-6668ce8301cf', title: 'strange behaviour ', location: 'Bulcock Street, Caloundra 4551, Queensland', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9b5be5a6-2b42-49c7-87b4-b802f2a46638', title: 'FIRE VEGETATION - Bruce Hwy & Mount Olympus Rd, ST LAWRENCE', location: 'Bruce Hwy & Mount Olympus Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e2bb7a14-f30a-406b-86e0-7fa79009c40b', title: 'FIRE STRUCTURE - Cabanda St, WYNNUM WEST', location: 'Cabanda St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9ed37985-74d8-4246-82e1-96c11be9ae23', title: 'FIRE VEGETATION - Bruce Hwy & Mount Olympus Rd, ST LAWRENCE', location: 'Bruce Hwy & Mount Olympus Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:38d49f0b-295a-4c4d-800e-48373cb6390a', title: 'FIRE VEGETATION - CAPE CLEVELAND RD & BRUCE HWY, CAPE CLEVELAND', location: 'CAPE CLEVELAND RD & BRUCE HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:8f39d7bd-9c1e-451f-a54e-236f022b1807', title: 'FIRE VEGETATION - BURNETT HWY, BOULDERCOMBE', location: 'BURNETT HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:979cb5da-6a2a-4890-92d1-0b16faeb88e1', title: 'FIRE VEGETATION - SHAW RD, SHAW', location: 'SHAW RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9bc028c4-90d5-4dc7-9451-1deae318b7d0', title: 'FIRE PERMITTED BURN - Bruce Hwy, CARDWELL', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:8f048a70-5d90-405c-bfd1-0ea72c700ece', title: 'RESCUE ROAD CRASH - BARRACK RD & WYNNUM RD, CANNON HILL', location: 'BARRACK RD & WYNNUM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3b130827-b914-45e2-b9ee-bf67f7da8653', title: 'RESCUE ROAD CRASH - GORE HWY, KINDON', location: 'GORE HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:85e76323-e8df-4e0c-a003-bc0f028e3c26', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b0b602bf-df4d-447e-b9e6-67bca3bdf523', title: 'test', location: 'Meridan Plains, Sunshine Coast Regional 4551, Queensland', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:61649581-c3bf-47a5-86e1-20cc4e1dd741', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:662fd694-0671-420e-9060-aae7d860dc20', title: 'FIRE PERMITTED BURN - Andoom Rd, ROCKY POINT', location: 'Andoom Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2b855680-2d4f-4a8a-adce-87bf2a11f823', title: 'FIRE PERMITTED BURN - Andoom Rd, ROCKY POINT', location: 'Andoom Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4264118f-bbc9-4059-a97f-cdae7f51430c', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:24e8f101-cd0d-4e98-80f2-c30627813233', title: 'FIRE VEGETATION - Bruce Hwy, CROMARTY', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:42c64e89-07f7-4b76-bbdf-e3899c3d4584', title: 'FIRE PERMITTED BURN - Cedar Grove Rd, CEDAR GROVE', location: 'Cedar Grove Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9fa1fbef-b04c-415e-8909-65d6ff43e76f', title: 'FIRE VEGETATION - Bruce Hwy & Mount Olympus Rd, ST LAWRENCE', location: 'Bruce Hwy & Mount Olympus Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b2fa8590-3340-4135-9a12-e5308f146bcb', title: 'found a dog', location: 'Silkpod Street, Kawana Forest, 4551', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:7d8efdfa-e0c0-4c5d-9393-be29824a574f', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:df7b933a-a829-4d32-b8d7-77fb9a918bbc', title: 'FIRE VEGETATION - APIS CREEK RD, DUARINGA', location: 'APIS CREEK RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:caf48f21-a73a-493e-a26a-dd2bbfec54b1', title: 'FIRE VEGETATION - BRUCE HWY & NORTON RD, BOROREN', location: 'BRUCE HWY & NORTON RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0d0bacac-72c2-4f3a-88bc-aecacf899331', title: 'FIRE PERMITTED BURN - Friarbird Cres, BONOGIN', location: 'Friarbird Cres', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:33098038-fe05-4d55-8635-4ed6cc0ff0b5', title: 'FIRE STRUCTURE - WHELAN RD, BOLLIER', location: 'WHELAN RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:22a2d6ba-0f7e-438a-9d80-4fdf481b7ed3', title: 'FIRE VEGETATION - Bruce Hwy & Mount Olympus Rd, ST LAWRENCE', location: 'Bruce Hwy & Mount Olympus Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2207be3f-e555-41cb-922e-ce4cfe699b34', title: 'FIRE VEGETATION - Carnarvon Hwy, UPPER DAWSON', location: 'Carnarvon Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:785767ff-b2cf-4ce9-8602-7da3abfdf496', title: 'FIRE PERMITTED BURN - Andoom Rd, ROCKY POINT', location: 'Andoom Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:042ca87f-9b9d-4f71-9ab1-7cd8c93c324a', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3df44b68-4525-4c1f-9f0a-2fd79717c7f4', title: 'POWER / GAS ELECTRICAL / POWER - Harris St, GRANTHAM', location: 'Harris St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f7a7584a-3815-42b1-9115-61e9137e4411', title: 'FIRE VEGETATION - CAPRICORN HWY & IKER RD, KALAPA', location: 'CAPRICORN HWY & IKER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:1f43a15b-2634-4f4a-96de-917005f58bf2', title: 'FIRE PERMITTED BURN - Yalbira Dr, BURDELL', location: 'Yalbira Dr', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:53b49bfe-0c98-47b8-8613-e4970cd687f2', title: 'FIRE PERMITTED BURN - Santa Isobel Bvd & Midway Tce, PACIFIC PINES', location: 'Santa Isobel Bvd & Midway Tce', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:db4024c2-e7bb-4e92-a250-ce3cd8b79e6d', title: 'FIRE PERMITTED BURN - RIVERWAY DR & KELSO DR, KELSO', location: 'RIVERWAY DR & KELSO DR', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4248e090-6558-4d25-a1a5-6e4b00f70f87', title: 'FIRE VEGETATION - Ahmat Yabu, BADU ISLAND', location: 'Ahmat Yabu', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:87c6308b-940a-4166-9347-d6aa80c63e46', title: 'FIRE VEGETATION - LOWE RD & BRUCE HWY, JULAGO', location: 'LOWE RD & BRUCE HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bf5c962b-b4e1-4246-836a-7852da6f19ea', title: 'FIRE VEGETATION - Caunter Rd, MOUNT COLLIERY', location: 'Caunter Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:48118fe1-b6dd-4dcf-8a57-e9bb0d09e26c', title: 'FIRE PERMITTED BURN - Cherbourg Rd, CHARLESTOWN', location: 'Cherbourg Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c68cb666-3b95-4ebb-9466-e036db0c5830', title: 'FIRE PERMITTED BURN - Edward St & Wills St, CHARLEVILLE', location: 'Edward St & Wills St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d778b9f1-1215-463c-889a-a5b88fc26fed', title: 'FIRE VEGETATION - Hilltop Rd, NEW MOONTA', location: 'Hilltop Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:dcc5ecd0-7675-4893-ace2-a4862ee79813', title: 'FIRE VEGETATION - Ahmat Yabu, BADU ISLAND', location: 'Ahmat Yabu', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:984a0b5d-de1a-4b1a-9138-a61fc5b2fca2', title: 'FIRE VEGETATION - Caping Rd, BLOOMSBURY', location: 'Caping Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5b970036-c770-476c-adeb-3d26c7b7b492', title: 'RESCUE ROAD CRASH - BRUCE HWY, BOWEN', location: 'BRUCE HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:62a1f828-5c53-4fb3-ad27-8cb858e3c38d', title: 'FIRE PERMITTED BURN - Cherbourg Rd, CHARLESTOWN', location: 'Cherbourg Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:5f056b15-ab3e-4ebc-9aca-275c0a7bb539', title: 'FIRE VEGETATION - MASTERSON RD, MUTCHILBA', location: 'MASTERSON RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:63460768-f930-4444-97e9-4679a26074ba', title: 'FIRE VEGETATION - GUNYARRA RD, ANDROMACHE', location: 'GUNYARRA RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:70bc718d-5bdc-4bab-b9fd-e08bfe27456c', title: 'FIRE PERMITTED BURN - Talagai Ave, TIERI', location: 'Talagai Ave', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:496785f4-bbde-4371-8fbc-c6d15767da56', title: 'FIRE VEGETATION - CAPRICORN HWY & IKER RD, KALAPA', location: 'CAPRICORN HWY & IKER RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4475c7f0-3ce9-4a62-9a9b-22e752a98a98', title: 'dog found ', location: 'Silkpod Street, Kawana Forest 4551, Queensland', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0e7acfc1-0d34-4efb-bb13-011e3bf464bd', title: 'FIRE VEGETATION - Unnamed Lawgi Dawes Rd, LAWGI DAWES', location: 'Unnamed Lawgi Dawes Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:388fe057-d527-4997-b4e7-fb5a216dc7a0', title: 'FIRE VEGETATION - Ahmat Yabu, BADU ISLAND', location: 'Ahmat Yabu', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a9d5e822-ffdd-4427-aa2e-33bbba0d272e', title: 'FIRE PERMITTED BURN - Cherbourg Rd, CHARLESTOWN', location: 'Cherbourg Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f0cedc32-e1e6-4694-9baa-a35d9fb395e7', title: 'FIRE PERMITTED BURN - Edward St & Wills St, CHARLEVILLE', location: 'Edward St & Wills St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:12f4d541-1524-45c9-bf50-476451bb3313', title: 'FIRE VEGETATION - Bruce Hwy, CROMARTY', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:19553e74-de42-4c71-b147-06b573839336', title: 'FIRE PERMITTED BURN - Freemans Rd, LOWER BEECHMONT', location: 'Freemans Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:b8ba54a5-5b8b-4a3f-a4a1-50e7a99b5e12', title: 'FIRE PERMITTED BURN - Rifle Range Rd, ATHERTON', location: 'Rifle Range Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a394894b-cb02-4b27-a3d4-a435c8098db9', title: 'FIRE PERMITTED BURN - Portland Rd, IRON RANGE', location: 'Portland Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ba2386de-ee39-45af-801d-38db9ee61c81', title: 'FIRE VEGETATION - Bruce Hwy & Mount Olympus Rd, ST LAWRENCE', location: 'Bruce Hwy & Mount Olympus Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ee0f0a6c-71d1-49f0-a1bc-706637b07e8c', title: 'FIRE VEGETATION - Bruce Hwy, CROMARTY', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:bb2afbf8-11c2-4703-b80b-e16123051d28', title: 'FIRE VEGETATION - Bruce Hwy, CROMARTY', location: 'Bruce Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:484f2626-6514-40f2-8239-7da23af3cabc', title: 'FIRE VEGETATION - Abattoir Rd, COSGROVE', location: 'Abattoir Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9d5ee4d7-851b-4dc9-a964-93c089a26e85', title: 'FIRE OTHER - Edward St, CABOOLTURE', location: 'Edward St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ed448146-86a8-46c0-97aa-c3edced4a40a', title: 'FIRE VEGETATION - Kippen St & Binnington Esp, EAST MACKAY', location: 'Kippen St & Binnington Esp', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:8d1bce06-d248-4613-bb51-7341bffc97ef', title: 'FIRE VEGETATION - Ahmat Yabu, BADU ISLAND', location: 'Ahmat Yabu', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9ee01a58-160c-4d02-9dc6-710b86f85eb6', title: 'FIRE VEGETATION - WYUNA RD, GORDONBROOK', location: 'WYUNA RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:2edce827-a285-41cf-b8f8-305f493ba6f5', title: 'FIRE VEGETATION - BURNETT HWY, BOULDERCOMBE', location: 'BURNETT HWY', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0071bb50-0a38-4fa1-ae65-590270f67d8a', title: 'FIRE VEGETATION - TULLY MISSION BEACH RD, MOUNT MACKAY', location: 'TULLY MISSION BEACH RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e20a6adb-1f39-4def-8b6d-00305fc5e6b9', title: 'FIRE PERMITTED BURN - Edward St & Wills St, CHARLEVILLE', location: 'Edward St & Wills St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:84b42d8e-22e5-4bb2-847b-c6c2e1ec9b70', title: 'FIRE VEGETATION - Fitzroy Developmental Rd, DINGO', location: 'Fitzroy Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:fe17f167-a9ae-45c8-ab09-cf343ac027fd', title: 'FIRE VEGETATION - Peter Delemothe Rd, BOGIE', location: 'Peter Delemothe Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c6d10ab4-b1c6-4afb-96cb-d7fa5b822645', title: 'FIRE VEGETATION - Fitzroy Developmental Rd, DINGO', location: 'Fitzroy Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:0a6c41a0-5ebc-48d5-b41c-aa0b3786bdc7', title: 'FIRE VEGETATION - Peter Delemothe Rd, BOGIE', location: 'Peter Delemothe Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:c962b20a-a1ad-4e28-8518-9d8b58a75eaf', title: 'FIRE VEGETATION - Peter Delemothe Rd, BOGIE', location: 'Peter Delemothe Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:def1f280-652e-49ff-b162-6d2ae7a72a6e', title: 'FIRE VEGETATION - Fitzroy Developmental Rd, DINGO', location: 'Fitzroy Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f1f2e12a-811d-4c28-a945-0a0cdb807e5a', title: 'FIRE VEGETATION - Fitzroy Developmental Rd, DINGO', location: 'Fitzroy Developmental Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:f5d96c4e-73a1-4da0-8fb2-57816443cc78', title: 'FIRE PERMITTED BURN - North Isis Rd, NORTH ISIS', location: 'North Isis Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:6ba42df1-eec3-49bd-8259-cb72daa65711', title: 'FIRE VEGETATION - Peter Delemothe Rd, BOGIE', location: 'Peter Delemothe Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:503880ab-75ee-47ad-834c-d3cf1b1a29c8', title: 'FIRE PERMITTED BURN - Capricorn Hwy, KABRA', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e305a94a-ea72-45b7-b493-bb21b1b650be', title: 'FIRE PERMITTED BURN - Capricorn Hwy, KABRA', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:90f7c5fc-2bf5-412d-b214-57b8ff09989b', title: 'FIRE PERMITTED BURN - Capricorn Hwy, KABRA', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:17ed3e47-38e1-4518-ac5a-c9f43b378c2a', title: 'FIRE PERMITTED BURN - Capricorn Hwy, KABRA', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:3049575d-4034-4068-9766-337971efeaea', title: 'FIRE PERMITTED BURN - Kerry Rd, KERRY', location: 'Kerry Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4ff0c19c-9962-4b29-bd26-b97e404233dc', title: 'FIRE VEGETATION - Mount Mcleay Rd & Mount Moffatt Rd, MOUNT MOFFATT', location: 'Mount Mcleay Rd & Mount Moffatt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d8ea76d3-80f8-4e21-87be-2b56c0060865', title: 'FIRE VEGETATION - Mount Mcleay Rd & Mount Moffatt Rd, MOUNT MOFFATT', location: 'Mount Mcleay Rd & Mount Moffatt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:46f0ea77-7d9b-4f00-a63b-76544c108054', title: 'FIRE VEGETATION - Mount Mcleay Rd & Mount Moffatt Rd, MOUNT MOFFATT', location: 'Mount Mcleay Rd & Mount Moffatt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9d33cdc7-6a3a-40fc-921d-5bc1aadfdfe4', title: 'FIRE VEGETATION - Mount Mcleay Rd & Mount Moffatt Rd, MOUNT MOFFATT', location: 'Mount Mcleay Rd & Mount Moffatt Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:aa512dec-27ca-44d1-8ee0-0295a9dcb84b', title: 'FIRE PERMITTED BURN - Dotswood Rd, DOTSWOOD', location: 'Dotswood Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:e85c2ae0-4be3-4cef-8e60-052f60505938', title: 'FIRE PERMITTED BURN - Dotswood Rd, DOTSWOOD', location: 'Dotswood Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:128350a4-88bb-4b94-9016-fe7cbd7c5ec2', title: 'FIRE PERMITTED BURN - Dotswood Rd, DOTSWOOD', location: 'Dotswood Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:88f3d8f7-09b0-4741-a573-85e8538fe395', title: 'FIRE PERMITTED BURN - Dotswood Rd, DOTSWOOD', location: 'Dotswood Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:431ea191-f83c-4de9-846e-493c53e22c76', title: 'FIRE PERMITTED BURN - Highwood Lane, WOOLMAR', location: 'Highwood Lane', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:a86bd986-cb23-4d94-b410-027e779d40ac', title: 'FIRE VEGETATION - Edington Dr, COOROIBAH', location: 'Edington Dr', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:de3c61c7-a5e8-47f1-9076-17df59b155cd', title: 'FIRE PERMITTED BURN - LENTHALL DAM RD, DUCKINWILLA', location: 'LENTHALL DAM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:224169db-eff4-4a35-8ce8-f16f737a95df', title: 'FIRE PERMITTED BURN - AUSTINVILLE RD, AUSTINVILLE', location: 'AUSTINVILLE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9955cefc-9934-4b54-9b77-8a77c87ef51c', title: 'FIRE VEGETATION - Capricorn Hwy, STANWELL', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:cd9294cf-2496-49de-b63b-68185430dd12', title: 'FIRE PERMITTED BURN - AUSTINVILLE RD, AUSTINVILLE', location: 'AUSTINVILLE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:ae4113d1-ea95-46e4-a3ed-da84c8f96013', title: 'FIRE PERMITTED BURN - LENTHALL DAM RD, DUCKINWILLA', location: 'LENTHALL DAM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:4a90847a-7e63-4227-939e-024ae8e14408', title: 'FIRE PERMITTED BURN - AUSTINVILLE RD, AUSTINVILLE', location: 'AUSTINVILLE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:03574911-35ca-4f9d-bfb1-0bc4a64f9363', title: 'FIRE VEGETATION - Capricorn Hwy, STANWELL', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:be37492f-669e-4008-a146-bc38265b1677', title: 'FIRE PERMITTED BURN - LENTHALL DAM RD, DUCKINWILLA', location: 'LENTHALL DAM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9a2f19ef-eeab-4476-af9a-5aebab848713', title: 'FIRE PERMITTED BURN - LENTHALL DAM RD, DUCKINWILLA', location: 'LENTHALL DAM RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9da9a51c-fbb0-496d-b869-6673ed575336', title: 'FIRE PERMITTED BURN - AUSTINVILLE RD, AUSTINVILLE', location: 'AUSTINVILLE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:177061b2-689f-43a0-a5b7-a84e7dd91749', title: 'FIRE VEGETATION - Capricorn Hwy, STANWELL', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d73504ef-6402-484d-bd84-b572e735348c', title: 'FIRE VEGETATION - Hill Top Rd & Rifle Range Rd, SAPPHIRE CENTRAL', location: 'Hill Top Rd & Rifle Range Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:8f4bf79f-7c08-44e9-911a-345a6e51bb0f', title: 'RESCUE ROAD CRASH - SHORE ST W & DELANCEY ST, CLEVELAND', location: 'SHORE ST W & DELANCEY ST', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:80e7fb85-85e2-4e44-af1e-e3ac781d494a', title: 'FIRE VEHICLE - Pinewood St, UPPER COOMERA', location: 'Pinewood St', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:9ad78913-80a4-4102-ad17-a18c7327a633', title: 'FIRE VEGETATION - Mirage Ct, SHOAL POINT', location: 'Mirage Ct', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:22ac763d-164e-4b22-82bb-d5fd3848a5ce', title: 'FIRE VEGETATION - Bajool Port Alma Rd, BAJOOL', location: 'Bajool Port Alma Rd', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:d82a25c9-afa4-4e2b-8ebe-18efc8c1526d', title: 'FIRE VEGETATION - Capricorn Hwy, STANWELL', location: 'Capricorn Hwy', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:843df6bc-e719-43f1-bea3-5f48da84a8ab', title: 'FIRE PERMITTED BURN - AUSTINVILLE RD, AUSTINVILLE', location: 'AUSTINVILLE RD', hasCoordinates: true}
 👤 USER INCIDENT: {id: 'user:433b86f1-84bf-42d2-af6d-dacf06fd6ba2', title: 'FIRE PERMITTED BURN - LENTHALL DAM RD, DUCKINWILLA', location: 'LENTHALL DAM RD', hasCoordinates: true}
